PEDIGREE,Site,Yield,DY,PHT
ATx645/RTx436,18VC,5.016,68,125.2
ATx645/RTx437,18VC,5.688,65,127.8
A05071/EON361,18CS,6.929,80,121.2
A05071/R07178,18CS,6.692,83,135.4
A05071/R08304,18CS,7.667,76,140.5
A05071/RARCH11001,18CS,6.92,75,121.9
A05071/RARCH11002,18CS,7.25,77,127
A05071/RARCH11028,18CS,5.727,77,121.2
A05071/RARCH11055,18CS,6.959,81,137.2
A05071/RARCH11056,18CS,6.152,78,128.8
A05071/RTx436,18CS,7.209,80,132.8
A05071/RTx437,18CS,8.017,73,129.5
A08140/EON361,18CS,5.831,73,111
A08140/R07178,18CS,6.594,78,130.3
A08140/R08304,18CS,7.059,78,137.9
A08140/RARCH11001,18CS,6.632,74,105.9
A08140/RARCH11002,18CS,7.292,75,116.8
A08140/RARCH11028,18CS,5.168,73,102.4
A08140/RARCH11055,18CS,6.661,78,121.2
A08140/RARCH11056,18CS,5.822,77,118.6
A08140/RTx436,18CS,7.727,78,120.1
A08140/RTx437,18CS,6.581,74,116.8
AARCH11051/EON361,18CS,6.599,80,113.5
AARCH11051/R07178,18CS,6.111,85,123.7
AARCH11051/R08304,18CS,7.853,78,149.1
AARCH11051/RARCH11001,18CS,6.29,83,115.1
AARCH11051/RARCH11002,18CS,5.74,85,116.1
AARCH11051/RARCH11028,18CS,5,80,111
AARCH11051/RARCH11055,18CS,4.735,84,123.7
AARCH11051/RARCH11056,18CS,5.27,81,126.2
AARCH11051/RTx436,18CS,5.784,83,121.2
AARCH11051/RTx437,18CS,7.475,75,127
AARCH11129/EON361,18CS,6.17,80,124.5
AARCH11129/R07178,18CS,5.946,84,137.2
AARCH11129/R08304,18CS,4.677,85,165.1
AARCH11129/RARCH11001,18CS,5.07,84,128.8
AARCH11129/RARCH11002,18CS,4.981,87,137.2
AARCH11129/RARCH11028,18CS,5.121,82,127.8
AARCH11129/RARCH11055,18CS,3.645,85,139.7
AARCH11129/RARCH11056,18CS,5.222,83,157.5
AARCH11129/RTx436,18CS,4.428,84,136.4
AARCH11129/RTx437,18CS,5.331,79,142.2
AARCH11136/EON361,18CS,6.41,77,126.2
AARCH11136/R07178,18CS,6.42,80,145.5
AARCH11136/R08304,18CS,7.247,77,158.2
AARCH11136/RARCH11001,18CS,6.142,75,124.5
AARCH11136/RARCH11002,18CS,5.616,79,137.9
AARCH11136/RARCH11028,18CS,5.753,75,133.9
AARCH11136/RARCH11055,18CS,4.554,83,146.6
AARCH11136/RARCH11056,18CS,5.504,79,152.4
AARCH11136/RTx436,18CS,6.552,81,129.5
AARCH11136/RTx437,18CS,7.213,74,140.5
AARCH11146/EON361,18CS,6.466,76,123.7
AARCH11146/R07178,18CS,6.26,80,134.6
AARCH11146/R08304,18CS,7.206,76,148.1
AARCH11146/RARCH11001,18CS,6.163,74,105.9
AARCH11146/RARCH11002,18CS,6.589,74,115.1
AARCH11146/RARCH11028,18CS,5.124,76,103.4
AARCH11146/RARCH11055,18CS,5.572,80,120.1
AARCH11146/RARCH11056,18CS,5.655,75,127.8
AARCH11146/RTx436,18CS,6.266,80,124.5
AARCH11146/RTx437,18CS,6.933,75,119.4
AHF14/EON361,18CS,7.16,75,123.7
AHF14/R07178,18CS,6.104,82,133.9
AHF14/R08304,18CS,7.985,76,137.9
AHF14/RARCH11001,18CS,6.526,79,104.9
AHF14/RARCH11002,18CS,6.396,80,109.2
AHF14/RARCH11028,18CS,5.237,80,105.9
AHF14/RARCH11055,18CS,3.654,85,121.9
AHF14/RARCH11056,18CS,5.611,82,111.8
AHF14/RTx436,18CS,6.363,80,117.6
AHF14/RTx437,18CS,6.345,75,122.7
AKS118/EON361,18CS,6.075,75,111
AKS118/R07178,18CS,6.84,77,116.1
AKS118/R08304,18CS,7.177,76,137.9
AKS118/RARCH11001,18CS,NA,NA,NA
AKS118/RARCH11002,18CS,6.523,74,124.5
AKS118/RARCH11028,18CS,4.99,73,106.7
AKS118/RARCH11055,18CS,6.266,80,122.7
AKS118/RARCH11056,18CS,5.981,79,120.1
AKS118/RTx436,18CS,6.682,78,119.4
AKS118/RTx437,18CS,6.62,74,122.7
ATx3408/EON361,18CS,7.213,80,128.8
ATx3408/R07178,18CS,7.493,81,143
ATx3408/R08304,18CS,7.618,79,156.7
ATx3408/RARCH11001,18CS,7.131,77,122.7
ATx3408/RARCH11002,18CS,6.783,80,132.1
ATx3408/RARCH11028,18CS,4.905,79,111.8
ATx3408/RARCH11055,18CS,5.088,87,135.4
ATx3408/RARCH11056,18CS,5.192,82,137.2
ATx3408/RTx436,18CS,5.505,83,132.1
ATx3408/RTx437,18CS,6.543,80,132.8
ATx645/EON361,18CS,6.994,76,130.3
ATx645/R07178,18CS,7.554,78,135.4
ATx645/R08304,18CS,7.334,76,142.2
ATx645/RARCH11001,18CS,6.845,75,106.7
ATx645/RARCH11002,18CS,7.13,76,116.8
ATx645/RARCH11028,18CS,5.626,74,111.8
ATx645/RARCH11055,18CS,7.17,79,129.5
ATx645/RARCH11056,18CS,5.631,80,116.1
ATx645/RTx436,18CS,6.818,78,123.7
ATx645/RTx437,18CS,6.948,75,132.1
A05071/EON361,18GC,6.437,66,149.9
A05071/R07178,18GC,4.765,68,154.9
A05071/R08304,18GC,5.346,66,165.1
A05071/RARCH11001,18GC,7.355,64,142.2
A05071/RARCH11002,18GC,6.096,69,146.6
